"Date","Start","End","Germany/Luxembourg [€/MWh]"
"Jan 13, 2022","11:00 AM","12:00 PM","170.16"
"Jan 13, 2022","12:00 PM","1:00 PM","152.53"
"Jan 13, 2022","1:00 PM","2:00 PM","134.13"
"Jan 13, 2022","2:00 PM","3:00 PM","171.01"
"Jan 13, 2022","3:00 PM","4:00 PM","201.59"
"Jan 13, 2022","4:00 PM","5:00 PM","205.38"
"Jan 13, 2022","5:00 PM","6:00 PM","220.30"
"Jan 13, 2022","6:00 PM","7:00 PM","212.76"
"Jan 13, 2022","7:00 PM","8:00 PM","210.00"
"Jan 13, 2022","8:00 PM","9:00 PM","192.69"
"Jan 13, 2022","9:00 PM","10:00 PM","164.46"
"Jan 13, 2022","10:00 PM","11:00 PM","164.20"
"Jan 13, 2022","11:00 PM","12:00 AM","122.09"
"Jan 14, 2022","12:00 AM","1:00 AM","120.04"
"Jan 14, 2022","1:00 AM","2:00 AM","110.03"
"Jan 14, 2022","2:00 AM","3:00 AM","108.24"
"Jan 14, 2022","3:00 AM","4:00 AM","107.46"
"Jan 14, 2022","4:00 AM","5:00 AM","109.82"
"Jan 14, 2022","5:00 AM","6:00 AM","140.52"
"Jan 14, 2022","6:00 AM","7:00 AM","176.04"
"Jan 14, 2022","7:00 AM","8:00 AM","190.97"
"Jan 14, 2022","8:00 AM","9:00 AM","216.99"
"Jan 14, 2022","9:00 AM","10:00 AM","196.91"
"Jan 14, 2022","10:00 AM","11:00 AM","162.92"
"Jan 14, 2022","11:00 AM","12:00 PM","160.04"
"Jan 14, 2022","12:00 PM","1:00 PM","154.01"
"Jan 14, 2022","1:00 PM","2:00 PM","152.29"
"Jan 14, 2022","2:00 PM","3:00 PM","186.94"
"Jan 14, 2022","3:00 PM","4:00 PM","217.18"
"Jan 14, 2022","4:00 PM","5:00 PM","224.91"
"Jan 14, 2022","5:00 PM","6:00 PM","262.00"
"Jan 14, 2022","6:00 PM","7:00 PM","260.04"
"Jan 14, 2022","7:00 PM","8:00 PM","234.32"
"Jan 14, 2022","8:00 PM","9:00 PM","215.04"
"Jan 14, 2022","9:00 PM","10:00 PM","204.39"
"Jan 14, 2022","10:00 PM","11:00 PM","194.29"
"Jan 14, 2022","11:00 PM","12:00 AM","184.90"
"Jan 15, 2022","12:00 AM","1:00 AM","222.01"
"Jan 15, 2022","1:00 AM","2:00 AM","205.08"
"Jan 15, 2022","2:00 AM","3:00 AM","194.62"
"Jan 15, 2022","3:00 AM","4:00 AM","182.64"
"Jan 15, 2022","4:00 AM","5:00 AM","187.83"
"Jan 15, 2022","5:00 AM","6:00 AM","190.58"
"Jan 15, 2022","6:00 AM","7:00 AM","190.27"
"Jan 15, 2022","7:00 AM","8:00 AM","204.46"
"Jan 15, 2022","8:00 AM","9:00 AM","212.84"
"Jan 15, 2022","9:00 AM","10:00 AM","230.00"
"Jan 15, 2022","10:00 AM","11:00 AM","222.39"
"Jan 15, 2022","11:00 AM","12:00 PM","214.92"
"Jan 15, 2022","12:00 PM","1:00 PM","208.43"
"Jan 15, 2022","1:00 PM","2:00 PM","200.00"
"Jan 15, 2022","2:00 PM","3:00 PM","203.09"
"Jan 15, 2022","3:00 PM","4:00 PM","213.98"
"Jan 15, 2022","4:00 PM","5:00 PM","226.32"
"Jan 15, 2022","5:00 PM","6:00 PM","260.00"
"Jan 15, 2022","6:00 PM","7:00 PM","267.03"
"Jan 15, 2022","7:00 PM","8:00 PM","261.41"
"Jan 15, 2022","8:00 PM","9:00 PM","243.62"
"Jan 15, 2022","9:00 PM","10:00 PM","220.10"
"Jan 15, 2022","10:00 PM","11:00 PM","212.85"
"Jan 15, 2022","11:00 PM","12:00 AM","209.41"
"Jan 16, 2022","12:00 AM","1:00 AM","225.92"
"Jan 16, 2022","1:00 AM","2:00 AM","216.00"
"Jan 16, 2022","2:00 AM","3:00 AM","189.49"
"Jan 16, 2022","3:00 AM","4:00 AM","181.98"
"Jan 16, 2022","4:00 AM","5:00 AM","174.98"
"Jan 16, 2022","5:00 AM","6:00 AM","165.91"
"Jan 16, 2022","6:00 AM","7:00 AM","118.71"
"Jan 16, 2022","7:00 AM","8:00 AM","119.45"
"Jan 16, 2022","8:00 AM","9:00 AM","125.86"
"Jan 16, 2022","9:00 AM","10:00 AM","129.46"
"Jan 16, 2022","10:00 AM","11:00 AM","125.99"
"Jan 16, 2022","11:00 AM","12:00 PM","131.83"
"Jan 16, 2022","12:00 PM","1:00 PM","123.01"
"Jan 16, 2022","1:00 PM","2:00 PM","122.49"
"Jan 16, 2022","2:00 PM","3:00 PM","102.67"
"Jan 16, 2022","3:00 PM","4:00 PM","121.95"
"Jan 16, 2022","4:00 PM","5:00 PM","115.00"
"Jan 16, 2022","5:00 PM","6:00 PM","125.42"
"Jan 16, 2022","6:00 PM","7:00 PM","112.40"
"Jan 16, 2022","7:00 PM","8:00 PM","97.49"
"Jan 16, 2022","8:00 PM","9:00 PM","90.14"
"Jan 16, 2022","9:00 PM","10:00 PM","97.09"
"Jan 16, 2022","10:00 PM","11:00 PM","93.85"
"Jan 16, 2022","11:00 PM","12:00 AM","87.20"
"Jan 17, 2022","12:00 AM","1:00 AM","78.08"
"Jan 17, 2022","1:00 AM","2:00 AM","34.00"
"Jan 17, 2022","2:00 AM","3:00 AM","12.33"
"Jan 17, 2022","3:00 AM","4:00 AM","10.09"
"Jan 17, 2022","4:00 AM","5:00 AM","12.83"
"Jan 17, 2022","5:00 AM","6:00 AM","36.16"
"Jan 17, 2022","6:00 AM","7:00 AM","92.03"
"Jan 17, 2022","7:00 AM","8:00 AM","102.80"
"Jan 17, 2022","8:00 AM","9:00 AM","126.00"
"Jan 17, 2022","9:00 AM","10:00 AM","100.90"
"Jan 17, 2022","10:00 AM","11:00 AM","112.03"
"Jan 17, 2022","11:00 AM","12:00 PM","111.25"
"Jan 17, 2022","12:00 PM","1:00 PM","100.58"
"Jan 17, 2022","1:00 PM","2:00 PM","111.65"
"Jan 17, 2022","2:00 PM","3:00 PM","127.38"
"Jan 17, 2022","3:00 PM","4:00 PM","168.85"
"Jan 17, 2022","4:00 PM","5:00 PM","199.85"
"Jan 17, 2022","5:00 PM","6:00 PM","249.99"
"Jan 17, 2022","6:00 PM","7:00 PM","254.37"
"Jan 17, 2022","7:00 PM","8:00 PM","237.28"
"Jan 17, 2022","8:00 PM","9:00 PM","220.00"
"Jan 17, 2022","9:00 PM","10:00 PM","215.94"
"Jan 17, 2022","10:00 PM","11:00 PM","209.16"
"Jan 17, 2022","11:00 PM","12:00 AM","180.00"
"Jan 18, 2022","12:00 AM","1:00 AM","188.94"
"Jan 18, 2022","1:00 AM","2:00 AM","192.68"
"Jan 18, 2022","2:00 AM","3:00 AM","180.09"
"Jan 18, 2022","3:00 AM","4:00 AM","188.09"
"Jan 18, 2022","4:00 AM","5:00 AM","193.99"
"Jan 18, 2022","5:00 AM","6:00 AM","205.07"
"Jan 18, 2022","6:00 AM","7:00 AM","229.10"
"Jan 18, 2022","7:00 AM","8:00 AM","273.71"
"Jan 18, 2022","8:00 AM","9:00 AM","294.40"
"Jan 18, 2022","9:00 AM","10:00 AM","290.64"
"Jan 18, 2022","10:00 AM","11:00 AM","275.40"
"Jan 18, 2022","11:00 AM","12:00 PM","265.10"
"Jan 18, 2022","12:00 PM","1:00 PM","250.00"
"Jan 18, 2022","1:00 PM","2:00 PM","244.27"
"Jan 18, 2022","2:00 PM","3:00 PM","243.02"
"Jan 18, 2022","3:00 PM","4:00 PM","249.22"
"Jan 18, 2022","4:00 PM","5:00 PM","260.00"
"Jan 18, 2022","5:00 PM","6:00 PM","278.00"
"Jan 18, 2022","6:00 PM","7:00 PM","276.39"
"Jan 18, 2022","7:00 PM","8:00 PM","255.03"
"Jan 18, 2022","8:00 PM","9:00 PM","237.28"
"Jan 18, 2022","9:00 PM","10:00 PM","224.19"
"Jan 18, 2022","10:00 PM","11:00 PM","190.78"
"Jan 18, 2022","11:00 PM","12:00 AM","175.49"
"Jan 19, 2022","12:00 AM","1:00 AM","169.01"
"Jan 19, 2022","1:00 AM","2:00 AM","163.48"
"Jan 19, 2022","2:00 AM","3:00 AM","162.93"
"Jan 19, 2022","3:00 AM","4:00 AM","160.01"
"Jan 19, 2022","4:00 AM","5:00 AM","163.16"
"Jan 19, 2022","5:00 AM","6:00 AM","165.59"
"Jan 19, 2022","6:00 AM","7:00 AM","198.39"
"Jan 19, 2022","7:00 AM","8:00 AM","227.42"
"Jan 19, 2022","8:00 AM","9:00 AM","261.65"
"Jan 19, 2022","9:00 AM","10:00 AM","252.67"
"Jan 19, 2022","10:00 AM","11:00 AM","221.75"
"Jan 19, 2022","11:00 AM","12:00 PM","193.62"
"Jan 19, 2022","12:00 PM","1:00 PM","170.14"
"Jan 19, 2022","1:00 PM","2:00 PM","160.47"
"Jan 19, 2022","2:00 PM","3:00 PM","164.13"
"Jan 19, 2022","3:00 PM","4:00 PM","180.50"
"Jan 19, 2022","4:00 PM","5:00 PM","179.26"
"Jan 19, 2022","5:00 PM","6:00 PM","173.99"
"Jan 19, 2022","6:00 PM","7:00 PM","167.34"
"Jan 19, 2022","7:00 PM","8:00 PM","135.61"
"Jan 19, 2022","8:00 PM","9:00 PM","125.05"
"Jan 19, 2022","9:00 PM","10:00 PM","120.90"
"Jan 19, 2022","10:00 PM","11:00 PM","118.08"
"Jan 19, 2022","11:00 PM","12:00 AM","97.16"
"Jan 20, 2022","12:00 AM","1:00 AM","90.05"
"Jan 20, 2022","1:00 AM","2:00 AM","78.94"
"Jan 20, 2022","2:00 AM","3:00 AM","75.05"
"Jan 20, 2022","3:00 AM","4:00 AM","72.13"
"Jan 20, 2022","4:00 AM","5:00 AM","70.99"
"Jan 20, 2022","5:00 AM","6:00 AM","87.70"
"Jan 20, 2022","6:00 AM","7:00 AM","96.26"
"Jan 20, 2022","7:00 AM","8:00 AM","118.95"
"Jan 20, 2022","8:00 AM","9:00 AM","140.51"
"Jan 20, 2022","9:00 AM","10:00 AM","130.27"
"Jan 20, 2022","10:00 AM","11:00 AM","128.47"
"Jan 20, 2022","11:00 AM","12:00 PM","111.95"
"Jan 20, 2022","12:00 PM","1:00 PM","94.15"
"Jan 20, 2022","1:00 PM","2:00 PM","85.54"
"Jan 20, 2022","2:00 PM","3:00 PM","105.37"
"Jan 20, 2022","3:00 PM","4:00 PM","111.32"
"Jan 20, 2022","4:00 PM","5:00 PM","134.86"
"Jan 20, 2022","5:00 PM","6:00 PM","176.05"
"Jan 20, 2022","6:00 PM","7:00 PM","192.74"
"Jan 20, 2022","7:00 PM","8:00 PM","180.00"
"Jan 20, 2022","8:00 PM","9:00 PM","152.33"
"Jan 20, 2022","9:00 PM","10:00 PM","137.91"
"Jan 20, 2022","10:00 PM","11:00 PM","131.76"
"Jan 20, 2022","11:00 PM","12:00 AM","121.39"
"Jan 21, 2022","12:00 AM","1:00 AM","119.19"
"Jan 21, 2022","1:00 AM","2:00 AM","117.87"
"Jan 21, 2022","2:00 AM","3:00 AM","110.92"
"Jan 21, 2022","3:00 AM","4:00 AM","113.14"
"Jan 21, 2022","4:00 AM","5:00 AM","119.15"
"Jan 21, 2022","5:00 AM","6:00 AM","120.73"
"Jan 21, 2022","6:00 AM","7:00 AM","148.76"
"Jan 21, 2022","7:00 AM","8:00 AM","207.59"
"Jan 21, 2022","8:00 AM","9:00 AM","223.15"
"Jan 21, 2022","9:00 AM","10:00 AM","215.79"
"Jan 21, 2022","10:00 AM","11:00 AM","206.51"
"Jan 21, 2022","11:00 AM","12:00 PM","206.43"
"Jan 21, 2022","12:00 PM","1:00 PM","190.00"
"Jan 21, 2022","1:00 PM","2:00 PM","170.08"
"Jan 21, 2022","2:00 PM","3:00 PM","169.29"
"Jan 21, 2022","3:00 PM","4:00 PM","190.00"
"Jan 21, 2022","4:00 PM","5:00 PM","177.44"
"Jan 21, 2022","5:00 PM","6:00 PM","179.99"
"Jan 21, 2022","6:00 PM","7:00 PM","165.05"
"Jan 21, 2022","7:00 PM","8:00 PM","145.81"
"Jan 21, 2022","8:00 PM","9:00 PM","139.73"
"Jan 21, 2022","9:00 PM","10:00 PM","132.25"
"Jan 21, 2022","10:00 PM","11:00 PM","133.59"
"Jan 21, 2022","11:00 PM","12:00 AM","120.01"
"Jan 22, 2022","12:00 AM","1:00 AM","123.58"
"Jan 22, 2022","1:00 AM","2:00 AM","120.30"
"Jan 22, 2022","2:00 AM","3:00 AM","119.99"
"Jan 22, 2022","3:00 AM","4:00 AM","121.80"
"Jan 22, 2022","4:00 AM","5:00 AM","123.57"
"Jan 22, 2022","5:00 AM","6:00 AM","123.68"
"Jan 22, 2022","6:00 AM","7:00 AM","120.00"
"Jan 22, 2022","7:00 AM","8:00 AM","148.35"
"Jan 22, 2022","8:00 AM","9:00 AM","186.00"
"Jan 22, 2022","9:00 AM","10:00 AM","207.46"
"Jan 22, 2022","10:00 AM","11:00 AM","211.25"
"Jan 22, 2022","11:00 AM","12:00 PM","209.69"
"Jan 22, 2022","12:00 PM","1:00 PM","200.83"
"Jan 22, 2022","1:00 PM","2:00 PM","188.54"
"Jan 22, 2022","2:00 PM","3:00 PM","185.88"
"Jan 22, 2022","3:00 PM","4:00 PM","196.50"
"Jan 22, 2022","4:00 PM","5:00 PM","197.25"
"Jan 22, 2022","5:00 PM","6:00 PM","222.31"
"Jan 22, 2022","6:00 PM","7:00 PM","230.82"
"Jan 22, 2022","7:00 PM","8:00 PM","214.32"
"Jan 22, 2022","8:00 PM","9:00 PM","207.14"
"Jan 22, 2022","9:00 PM","10:00 PM","190.33"
"Jan 22, 2022","10:00 PM","11:00 PM","193.52"
"Jan 22, 2022","11:00 PM","12:00 AM","175.07"
"Jan 23, 2022","12:00 AM","1:00 AM","171.69"
"Jan 23, 2022","1:00 AM","2:00 AM","183.01"
"Jan 23, 2022","2:00 AM","3:00 AM","185.22"
"Jan 23, 2022","3:00 AM","4:00 AM","179.73"
"Jan 23, 2022","4:00 AM","5:00 AM","179.04"
"Jan 23, 2022","5:00 AM","6:00 AM","179.49"
"Jan 23, 2022","6:00 AM","7:00 AM","168.23"
"Jan 23, 2022","7:00 AM","8:00 AM","172.45"
"Jan 23, 2022","8:00 AM","9:00 AM","184.93"
"Jan 23, 2022","9:00 AM","10:00 AM","195.31"
"Jan 23, 2022","10:00 AM","11:00 AM","195.34"
"Jan 23, 2022","11:00 AM","12:00 PM","195.87"
"Jan 23, 2022","12:00 PM","1:00 PM","195.41"
"Jan 23, 2022","1:00 PM","2:00 PM","186.29"
"Jan 23, 2022","2:00 PM","3:00 PM","184.49"
"Jan 23, 2022","3:00 PM","4:00 PM","190.00"
"Jan 23, 2022","4:00 PM","5:00 PM","194.00"
"Jan 23, 2022","5:00 PM","6:00 PM","214.95"
"Jan 23, 2022","6:00 PM","7:00 PM","239.49"
"Jan 23, 2022","7:00 PM","8:00 PM","242.97"
"Jan 23, 2022","8:00 PM","9:00 PM","224.96"
"Jan 23, 2022","9:00 PM","10:00 PM","204.84"
"Jan 23, 2022","10:00 PM","11:00 PM","201.00"
"Jan 23, 2022","11:00 PM","12:00 AM","179.97"
"Jan 24, 2022","12:00 AM","1:00 AM","183.33"
"Jan 24, 2022","1:00 AM","2:00 AM","179.61"
"Jan 24, 2022","2:00 AM","3:00 AM","178.30"
"Jan 24, 2022","3:00 AM","4:00 AM","177.46"
"Jan 24, 2022","4:00 AM","5:00 AM","177.61"
"Jan 24, 2022","5:00 AM","6:00 AM","187.48"
"Jan 24, 2022","6:00 AM","7:00 AM","225.19"
"Jan 24, 2022","7:00 AM","8:00 AM","265.00"
